% Model:              opt_simple_mesh.mph
% Version:            COMSOL 5.2.0.220
% Date:               Jul 5 2016, 12:51
% Table:              Objective Table 2 - 
% c1                     c2                       c3                       c4                       Objective
0                        0                        0                        0                        10.66794515075991
0.2                      0                        0                        0                        10.336421891032606
0                        0.2                      0                        0                        10.259136586563791
0                        0                        0.2                      0                        10.32375721264457
0                        0                        0                        0.2                      9.94888748489573
-0.2                     0                        0                        0                        10.380553187745134
0                        -0.2                     0                        0                        10.173195698207927
0                        0                        -0.2                     0                        9.64147289380713
0                        0                        0                        -0.2                     9.59187271470711
-0.006687216599660031    0.009842380053358264     0.04975592896570411      0.019898640794379235     10.758778039749272
-0.006420612810199768    0.009449987227370421     0.03979874033421728      0.01910532821629409      10.756134109599296
-0.0063910222575290394   0.009406435256078054     0.047552108523001194     0.010158753910963256     10.754482503195728
-0.0070255064465950786   2.2277357185849882E-4    0.05227295908474869      0.02090526411040705      10.764679146440658
-0.007259575441245783    -0.009549498509801151    0.052456221405768166     0.023006293617447153     10.768603703100473
-0.007940701276226904    -0.02667208774948738     0.05323913831447047      0.024612521717622914     10.769849388585097
-0.008369490102793217    -0.021396476615902483    0.05554064361615758      0.026430610064270086     10.772377166446702
-0.013368250327064913    -0.02277469269779645     0.06202691521327807      0.03200207283631083      10.779170533041192
-0.026088963667788633    -0.03296121459709205     0.07063070773258483      0.039773364748407924     10.78659965934692
-0.043946255522535685    -0.06578457153549835     0.08247154809968657      0.04774449178974734      10.753247662788702
-0.008223040648681429    -0.036347328181528485    0.07788661749971959      0.043859292173097274     10.762077018404366
-0.040587535464476895    -0.019678025804109163    0.0683044977717965       0.03695608617422         10.797986513521476
-0.05604379676575077     -0.0024663280115976433   0.06789601424829249      0.03491766994589423      10.800110443049538
-0.05190590437044931     -0.009763431287113686    0.06440333125525056      0.0360318289909164       10.80221468873752
-0.05460013958076546     -0.01417273594270621     0.05961100691281842      0.03448400140640968      10.803131226665508
-0.0516447218995962      -0.01340558855595534     0.05638435904753513      0.043443116026186356     10.79818193596412
-0.05640235662981338     -0.015945803404046555    0.06263218766943231      0.030881955013673926     10.802903063000683
-0.06360282060235332     -0.013295206758513827    0.0559200894727025       0.032348865484581615     10.80081512891229
-0.05043984793938468     -0.009142671850497743    0.05773433675449146      0.02880379795719625      10.804245876431878
-0.04716321650281664     -0.00854875320832485     0.06697608040714137      0.026932669598670616     10.80195289653131
-0.05079884354629712     -0.010167345506206784    0.057813673127651226     0.029442016053933793     10.804251874969204
