% Model:              opt_simple_mesh.mph
% Version:            COMSOL 5.2.0.220
% Date:               Jul 5 2016, 13:22
% Table:              Table 6 - Global Evaluation 1 (comp1.p_with/comp2.p_without)
% freq (Hz)                                       comp1.p_with/comp2.p_without (1)
200                                               0.010452877192410082
400                                               0.1254101312620758
600                                               0.9442594511819596
800                                               0.9951912012126415
1000                                              0.9891986379529851
1200                                              0.9845787544929934
1400                                              0.9737591005306031
1600                                              0.9928884332356289
1800                                              0.9729022033030503
2000                                              0.8877958255710366
2200                                              0.9946002986379583
2400                                              0.9492702356307464
2600                                              0.9680053395837477
2800                                              0.9808350821962137
3000                                              0.982405624087208
