% Model:              opt_simple_mesh.mph
% Version:            COMSOL 5.2.0.220
% Date:               Jul 5 2016, 13:13
% Table:              Table 5 - Global Evaluation 1 (comp1.p_with/comp2.p_without)
% freq (Hz)                                       comp1.p_with/comp2.p_without (1)
100                                               0.0012323254277153885
200                                               0.01055718298205258
300                                               0.04062712966471986
400                                               0.12449192981060674
500                                               0.5267105095847758
600                                               0.9281901274921521
700                                               0.929679181675422
800                                               0.9956239630675121
900                                               0.9117054962252995
1000                                              0.9172457683702347
1100                                              0.9009038465408651
1200                                              0.9215192168567051
1300                                              0.8193626792837737
1400                                              0.9412509869161441
1500                                              0.9795793442755736
1600                                              0.9909396226529701
1700                                              0.986907004654028
1800                                              0.9779676099765847
1900                                              0.9427323487244021
2000                                              0.9070299152977972
2100                                              0.9687527504542647
2200                                              0.9918271876478294
2300                                              0.9451854763568853
2400                                              0.9418297819060392
2500                                              0.966183858621694
2600                                              0.9826131438215827
2700                                              0.982601857486534
2800                                              0.990377252704451
2900                                              0.98717347550918
3000                                              0.9798111777247862
